HASC_1,gouvernorat,tri
TN.AN,Ariana,2500000
TN.BJ,Beja,1900000
TN.BA,Ben Arous,1000000
TN.BZ,Bizerta,25227600
TN.GB,Gabès,9715620
TN.GF,Gafsa,14400621
TN.JE,Jendouba,2300000
TN.KR,Kairouan,18000000
TN.KS,Kasserine,2000000
TN.KB,Kebili,2990000
TN.KF,Kef,2842800
TN.MH,Mahdia,14716580
TN.MN,Manouba,1976120
TN.ME,Medenine,24157830
TN.MS,Monastir,45640695
TN.NB,Nabeul,21632384
TN.SF,Sfax,62648560
TN.SZ,Sidi Bouzid,1650200
TN.SL,Siliana,5674320
TN.SS,Sousse,60762340
TN.TA,Tataouine,17460000
TN.TO,Tozeur,2110000
TN.TU,Tunis,116972766
TN.ZA,Zaghouan,7650000
























